frame,person_id,class,bbox,confidence
40,1,person,"[375.05, 1639.88, 721.97, 2643.68]",0.87
40,2,person,"[1209.0, 1659.8, 1449.36, 2426.57]",0.83
40,3,person,"[23.81, 1591.11, 393.36, 2742.7]",0.9
40,4,person,"[1870.53, 1678.3, 2043.26, 2136.45]",0.82
40,6,person,"[1012.97, 1724.71, 1202.45, 2339.33]",0.74
40,7,person,"[846.35, 1706.25, 1000.59, 2173.75]",0.73
40,8,person,"[671.14, 1690.34, 825.09, 2109.76]",0.63
40,9,backpack,"[1017.53, 1807.7, 1186.68, 2040.34]",0.46
40,51,person,"[279.27, 1824.63, 366.57, 2122.95]",0.35
40,56,person,"[2020.18, 1685.84, 2104.99, 1959.31]",0.37
41,1,person,"[374.21, 1641.83, 726.24, 2663.87]",0.87
41,2,person,"[1209.67, 1662.42, 1449.32, 2426.16]",0.84
41,3,person,"[18.53, 1596.74, 388.49, 2741.53]",0.9
41,4,person,"[1873.26, 1679.18, 2046.17, 2139.8]",0.79
41,6,person,"[1014.14, 1718.99, 1206.31, 2338.94]",0.75
41,7,person,"[849.07, 1706.32, 1003.92, 2175.41]",0.73
41,8,person,"[677.55, 1687.54, 829.79, 2102.28]",0.6
41,9,backpack,"[1015.2, 1795.26, 1193.09, 2040.89]",0.55
41,51,person,"[278.5, 1848.08, 361.21, 2128.81]",0.26
42,1,person,"[376.11, 1643.16, 731.43, 2678.86]",0.85
42,2,person,"[1208.7, 1662.56, 1449.02, 2427.74]",0.81
42,3,person,"[13.53, 1597.92, 384.57, 2740.88]",0.89
42,4,person,"[1875.66, 1680.14, 2048.12, 2141.35]",0.79
42,6,person,"[1014.37, 1717.69, 1212.56, 2356.57]",0.73
42,7,person,"[849.52, 1706.21, 1004.03, 2173.32]",0.73
42,8,person,"[681.88, 1688.36, 833.12, 2100.98]",0.62
42,9,backpack,"[1025.28, 1809.81, 1190.37, 2036.02]",0.67
42,56,person,"[2032.44, 1686.75, 2119.77, 1967.56]",0.32
43,1,person,"[377.15, 1641.29, 734.98, 2690.91]",0.83
43,2,person,"[1209.05, 1661.22, 1447.74, 2419.07]",0.82
43,3,person,"[8.97, 1595.43, 381.65, 2741.44]",0.89
43,4,person,"[1876.27, 1681.12, 2048.9, 2143.13]",0.78
43,6,person,"[1014.14, 1722.93, 1211.73, 2356.92]",0.77
43,7,person,"[849.76, 1703.05, 1000.64, 2157.68]",0.74
43,8,person,"[680.54, 1688.26, 833.11, 2105.3]",0.61
43,9,backpack,"[1025.44, 1809.77, 1192.55, 2038.56]",0.67
43,56,person,"[2038.58, 1687.04, 2126.35, 1968.06]",0.45
44,1,person,"[381.1, 1642.7, 737.51, 2689.0]",0.84
44,2,person,"[1208.34, 1657.06, 1450.77, 2426.74]",0.82
44,3,person,"[4.7, 1595.21, 374.4, 2730.44]",0.89
44,4,person,"[1876.39, 1680.96, 2048.25, 2142.56]",0.75
44,6,person,"[1012.05, 1712.5, 1212.16, 2354.66]",0.77
44,7,person,"[849.57, 1704.14, 1003.72, 2168.19]",0.73
44,8,person,"[683.6, 1689.33, 833.29, 2099.81]",0.7
44,9,backpack,"[1024.1, 1800.34, 1197.24, 2038.09]",0.5
44,56,person,"[2042.8, 1686.12, 2131.64, 1969.62]",0.34
45,1,person,"[384.76, 1651.44, 738.79, 2692.63]",0.86
45,2,person,"[1209.64, 1655.58, 1450.51, 2418.47]",0.83
45,3,person,"[3.01, 1595.47, 368.56, 2716.4]",0.88
45,4,person,"[1879.26, 1680.68, 2048.99, 2138.06]",0.72
45,6,person,"[1013.25, 1707.36, 1214.19, 2352.41]",0.8
45,7,person,"[850.91, 1705.26, 1002.51, 2159.25]",0.73
45,8,person,"[687.54, 1689.81, 836.06, 2098.44]",0.67
45,9,backpack,"[1032.49, 1801.83, 1199.65, 2031.04]",0.38
45,56,person,"[2058.96, 1691.87, 2143.59, 1961.35]",0.61
46,1,person,"[390.08, 1658.63, 744.0, 2699.98]",0.84
46,2,person,"[1210.77, 1650.85, 1450.28, 2405.85]",0.84
46,3,person,"[4.53, 1587.91, 365.5, 2691.06]",0.88
46,4,person,"[1880.57, 1679.97, 2049.84, 2136.75]",0.75
46,6,person,"[1014.31, 1698.68, 1218.2, 2353.13]",0.78
46,7,person,"[850.78, 1702.06, 1000.75, 2147.84]",0.73
46,8,person,"[688.78, 1690.65, 835.85, 2096.3]",0.71
46,56,person,"[2063.51, 1686.71, 2150.96, 1964.48]",0.51
